text,severity,class,subclass
"يا جماعة، في حريق ببيت بحي المزة بدمشق، تعالوا بسرعة!",9,FIRE,structure_fire
"محل بحي الشيخ مقصود بحلب عم يحترق، بدنا إطفاء فوري!",8,FIRE,structure_fire
"يا شباب، مستودع بحي القابون بدمشق فيه نار، خطر كبير!",9,FIRE,structure_fire
"في حريق بمبنى بدير الزور قرب السوق، بالله ساعدوا!",9,FIRE,structure_fire
"بيت بحي الخالدية بحمص عم يحترق، الناس محاصرة!",10,FIRE,structure_fire
"يا جماعة، محل باللاذقية قرب الكورنيش فيه نار، بسرعة!",8,FIRE,structure_fire
"مبنى مهجور بحي التضامن بدمشق عم يحترق، خطر!",9,FIRE,structure_fire
"في حريق بمستودع بالسويداء، بدنا فريق إطفاء!",8,FIRE,structure_fire
"يا شباب، بيت بحي الميدان بدمشق فيه نار، تعالوا بسرعة!",9,FIRE,structure_fire
"محل بحي الصالحية بحلب عم يحترق، الناس بخطر!",8,FIRE,structure_fire
"في حريق بمبنى بدير الزور، بالله ارسلوا إطفاء!",9,FIRE,structure_fire
"يا جماعة، بيت بحي القصور بحمص فيه نار، ساعدوا!",10,FIRE,structure_fire
"مستودع بحي الحميدية بدمشق عم يحترق، خطر كبير!",9,FIRE,structure_fire
"يا شباب، محل بحي الصالحية بحلب فيه نار، بسرعة!",8,FIRE,structure_fire
"مبنى مهجور بحي الشيخ سعد بدير الزور عم يحترق!",9,FIRE,structure_fire
"في حريق ببيت بحي المزة بدمشق، الناس محتاجة مساعدة!",10,FIRE,structure_fire
"محل باللاذقية قرب السوق عم يحترق، بدنا إطفاء!",8,FIRE,structure_fire
"يا جماعة، مستودع بحي الخالدية بحمص فيه نار، خطر!",9,FIRE,structure_fire
"بيت بالسويداء عم يحترق، بالله ارسلوا فريق!",10,FIRE,structure_fire
"يا شباب، مبنى بحي التضامن بدمشق فيه نار، بسرعة!",9,FIRE,structure_fire
"محل بحي الفردوس بحلب عم يحترق، الناس بخطر!",8,FIRE,structure_fire
"في حريق بمستودع بحي القابون بدمشق، بدنا إطفاء!",9,FIRE,structure_fire
"يا جماعة، بيت بحي الميدان بدمشق فيه نار، ساعدوا!",10,FIRE,structure_fire
"مبنى مهجور بدير الزور عم يحترق، خطر كبير!",9,FIRE,structure_fire
"يا شباب، محل بحي القصور بحمص فيه نار، تعالوا!",8,FIRE,structure_fire
"في حريق ببيت بحي الحميدية بدمشق، بالله ساعدوا!",10,FIRE,structure_fire
"مستودع باللاذقية قرب المينا عم يحترق، بدنا إطفاء!",9,FIRE,structure_fire
"يا جماعة، بيت بحي الصالحية بحلب فيه نار، بسرعة!",8,FIRE,structure_fire
"مبنى بحي الشيخ سعد بدير الزور عم يحترق، خطر!",9,FIRE,structure_fire
"يا شباب، محل بحي المزة بدمشق فيه نار، ساعدوا!",8,FIRE,structure_fire
"في حريق ببيت بالسويداء، الناس محاصرة!",10,FIRE,structure_fire
"مستودع بحي الخالدية بحمص عم يحترق، بدنا إطفاء!",9,FIRE,structure_fire
"يا جماعة، مبنى بحي التضامن بدمشق فيه نار، خطر!",9,FIRE,structure_fire
"محل بحي الفردوس بحلب عم يحترق، بالله تعالوا!",8,FIRE,structure_fire
"في حريق بمبنى بحي القابون بدمشق، بدنا مساعدة!",9,FIRE,structure_fire
"يا شباب، بيت بحي الميدان بدمشق فيه نار، بسرعة!",10,FIRE,structure_fire
"مستودع بدير الزور قرب السوق عم يحترق، خطر!",9,FIRE,structure_fire
"يا جماعة، محل بحي القصور بحمص فيه نار، ساعدوا!",8,FIRE,structure_fire
"بيت بحي الحميدية بدمشق عم يحترق، بالله إطفاء!",10,FIRE,structure_fire
"مبنى مهجور باللاذقية عم يحترق، خطر كبير!",9,FIRE,structure_fire
